Timestamp,UTM_EASTING,UTM_NORTHING,H:CGVD2013(m),Depth
1654143959.66216,664750.2031051065,5564352.833127578,21.51039375901222,4.9
1654143960.669834,664749.6245279557,5564355.229741251,21.526920996665954,4.8
1654143961.677594,664749.0785477303,5564357.654836201,21.525560527324675,4.8
1654143962.669336,664748.5818868844,5564360.025196779,21.50537527036667,4.8
1654143963.677063,664748.1125547024,5564362.39726391,21.481571677446368,4.7
1654143964.684794,664747.6776610576,5564364.78013092,21.45522082424164,4.7
1654143965.676558,664747.2698274276,5564367.098955029,21.458149491786955,4.7
1654143966.684404,664746.8751707079,5564369.425151615,21.418193673849103,4.7
1654143967.676208,664746.4963799582,5564371.705014582,21.447706879854202,4.6
1654143968.683398,664746.1477786228,5564373.980984177,21.429226408004762,4.6
1654143969.690547,664745.7763702271,5564376.258380521,21.424598906040192,4.6
1654143970.697804,664745.4789655252,5564378.493209558,21.42696733260155,4.6
1654143971.689623,664745.192045919,5564380.675781767,21.399292839050293,4.6
1654143972.697569,664744.9204635165,5564382.86979294,21.42049082660675,4.6
1654143973.705457,664744.7134720751,5564385.044663962,21.428317337989807,4.6
1654143974.71334,664744.5067142865,5564387.193496166,21.464106639862063,4.6
1654143975.721273,664744.3415089552,5564389.337124867,21.45281927752495,4.6
1654143976.712973,664744.2143513346,5564391.3876219,21.494743237018586,4.6
1654143977.720714,664744.0857560938,5564393.463091085,21.44246286201477,4.5
1654143978.728412,664743.9696707402,5564395.529521187,21.420109230995177,4.5
1654143979.73617,664743.8747263122,5564397.575966792,21.375161911010743,4.5
1654143980.72783,664743.7805628147,5564399.5517717535,21.407670381069185,4.6
1654143981.735751,664743.7308632348,5564401.532268372,21.387966007232666,4.5
1654143982.743639,664743.6762854441,5564403.516886956,21.39430458474159,4.5
1654143983.751342,664743.664903967,5564405.464310052,21.41538657951355,4.5
1654143984.742678,664743.6790809319,5564407.356807611,21.403247322082517,4.4
1654143985.749859,664743.7531711909,5564409.257455786,21.38687112236023,4.4
1654143986.74123,664743.8399532891,5564411.089912465,21.461517220020294,4.4
1654143987.748851,664743.9405145644,5564412.946127952,21.471765531539916,4.3
1654143988.756662,664744.0650194201,5564414.792964687,21.506199942588808,4.3
1654143989.748493,664744.1855191536,5564416.584634123,21.520275478839874,4.3
1654143990.756156,664744.2981606359,5564418.41494255,21.522129247665408,4.3
1654143991.763987,664744.4495114868,5564420.22498438,21.53245202589035,4.3
1654143992.755646,664744.6206511676,5564421.980205097,21.53960851478577,4.2
1654143993.763449,664744.8170606483,5564423.73149221,21.496023082733156,4.3
1654143994.770919,664745.066273585,5564425.4558482915,21.45602827167511,4.2
1654143995.762747,664745.3117824063,5564427.14621912,21.46200043487549,4.2
1654143996.770362,664745.5725155391,5564428.818068178,21.48746253323555,4.2
1654143997.77812,664745.8327369893,5564430.482465351,21.492398040533065,4.1
1654143998.76972,664746.1221188197,5564432.101801409,21.521811197280886,4.1
1654143999.777428,664746.4099963637,5564433.720011853,21.474913148880002,4.1
1654144000.785242,664746.7203836648,5564435.320932941,21.468095158576965,4.1
1654144001.777107,664747.0392304641,5564436.892709987,21.446341823101044,4.1
1654144002.784852,664747.3646543715,5564438.453928736,21.429512484312056,4.1
1654144003.776512,664747.7223240071,5564439.968810368,21.45,4.1
1654144004.784463,664748.0950730077,5564441.520672984,21.45041107416153,4.1
1654144005.792261,664748.4728658978,5564443.051060235,21.444045217514038,4.1
1654144006.784039,664748.8355331805,5564444.528986449,21.476238439559936,4.1
1654144007.791894,664749.2027997385,5564446.064035242,21.429981060504915,4.0
1654144008.79969,664749.5656776625,5564447.579404839,21.410958529949188,4.0
1654144009.791575,664749.914920208,5564449.029044618,21.45480157494545,4.0
1654144010.799431,664750.2710325222,5564450.500962904,21.45619056892395,3.9
1654144011.791272,664750.6340423104,5564451.970539668,21.453410175323484,3.9
1654144012.815128,664751.0190884112,5564453.467379866,21.46317487192154,3.9
1654144013.822956,664751.4192824302,5564454.945890836,21.45932729721069,3.9
1654144014.830849,664751.8243812122,5564456.391755342,21.479750661849977,3.9
